Make,Model,Type,First-registration-date,Year-of-manufacture,Mileage,Chassis-number,Engine-number,Gearbox-number,Matching-numbers,Previous-owners,Café-Racer,Engine-Type,Power,Cubic-capacity,Cylinders,Starter,Cooling,Gearbox,Gearshift,Gears,Transmission,Front-breaks,Rear-breaks,Fuel-type,Curb-weight,Exterior-color,Price
MZ,ETZ 250,Touring Bike,04/1983,1983,"22,460 km",Not provided,Not provided,Not provided,No,1,Not provided,2 stroke,15/21,243,1,unknown,Air,Not provided,Not provided,Not provided,Chain,Not provided,Not provided,Petrol,Not provided,Blue,"3,256"
MZ,ETZ 250,Touring Bike,10/1982,1982,"42,971 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,15/21,243,1,unknown,Air,Not provided,Not provided,Not provided,Chain,Not provided,Not provided,Petrol,Not provided,Red,"2,999"
Simson,SR50/1 XG/XS,Scooter,01/1992,1992,"9,386 km",Not provided,Not provided,Not provided,No,1,Not provided,2 stroke,3/4 (Factory: 2/3),49,1,unknown,Air,Not provided,Not provided,4,Not provided,Not provided,Not provided,Petrol,0.083,Yellow,"2,999"
Motobécane,Moby,Moped,01/1980,1980,75 km,Not provided,Not provided,Not provided,No,1,Not provided,2 stroke,3/4 (Factory: 2/3),49,1,unknown,Air,Not provided,Not provided,Not provided,Chain,Drum,Drum,Petrol,Not provided,White,"2,999"
Simson,Schwalbe KR 51/2,Moped,01/1982,1982,"7,156 km",Not provided,Not provided,Not provided,No,1,Not provided,2 stroke,3/4,49,1,unknown,Air,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,Not provided,Yellow,"2,571"
MZ,TS 250,Touring Bike,07/1983,1983,"10,000 km",Not provided,Not provided,Not provided,No,2,Not provided,2 stroke,14/19,243,1,unknown,Air,Not provided,Not provided,Not provided,Chain,Not provided,Not provided,Petrol,Not provided,Black,"2,828"
BMW,F 650,Enduro/Scrambler,01/1995,1995,1 km,Not provided,Not provided,Not provided,No,1,No,4 stroke,35/48,652,Not provided,Electric starter,Not provided,Manual,Pedal Control Left,5,Chain,Disc,Disc,Petrol,0.189,Red,"5,913"
Harley-Davidson,FLHTC Electra Glide Classic,Chopper/Cruiser,Not provided,2005,"45,706 mls",Not provided,Not provided,Not provided,No,Not provided,No,4 stroke,49/67,1449,2,Electric starter,Oil-air,Manual,Not provided,Not provided,Chain,Disc,Disc,Petrol,Not provided,Orange,"12,639"
Honda,NSR 125 R,Sports Bike,01/1990,1990,"39,650 km",Not provided,Not provided,Not provided,No,Not provided,No,2 stroke,21/28,125,1,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,Not provided,Others,"3,162"
Kawasaki,Z 1000R,Racing Motorcycle,Not provided,1983,Not provided,Not provided,Not provided,Not provided,Yes,Not provided,No,Straight | 4-stroke | DOHC,75/102,998,4,Electric starter,Air,Manual,Pedal Control Left,5,Chain,Disc,Disc,Petrol,0.256,Green,"11,911"
Suzuki,VS 1400GL Intruder,Chopper,Not provided,1998,"42,833 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4 stroke | OHC,45/61,1360,2,Electric starter,Oil-air,Manual,Pedal Control Left,4,Cardan,Disc,Disc,Petrol,0.243,Black,"6,255"
Honda,GL 1000 Gold Wing,Touring Bike,Not provided,1980,Not provided,GL1-3026024,GL1-3026120,Not provided,Yes,Not provided,No,Twin | 4 stroke | SOHC,57/78,999,4,Electric starter,water,Manual,Not provided,5,Cardan,Disc,Disc,Petrol,0.273,Red,"5,141"
Kreidler,Florett,Lightweight Bike,01/1982,1982,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,7/9,80,1,Kickstarter,Air,Manual,Pedal Control Left,4,Not provided,Drum,Drum,Petrol,0.085,Blue,"2,785"
Honda,VFR 750F,Touring Bike,Not provided,1984,"34,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-Takt | DOHC,78/106,748,4,Electric starter,water,Manual,Not provided,6,Chain,Disc,Disc,Petrol,0.23,White,"2,571"
Moto Guzzi,1000 SP,Touring Bike,Not provided,1982,"64,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-stroke | OHV,45/61,949,2,unknown,Air,Not provided,Not provided,Not provided,Cardan,Not provided,Not provided,Petrol,Not provided,Blue,"4,542"
Honda,CR 250,Motocross,Not provided,1991,100 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,0/0,250,Not provided,Kickstarter,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,Not provided,Red,"4,713"
Ducati,750 SS,Sports Bike,Not provided,1992,"65,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-Takt | DOHC,49/66,748,2,Electric starter,Air,Manual,Not provided,5,Chain,Disc,Disc,Petrol,0.188,Red,"2,828"
