Make,Model,Type,First-registration-date,Year-of-manufacture,Mileage,Chassis-number,Engine-number,Gearbox-number,Matching-numbers,Previous-owners,Café-Racer,Engine-Type,Power,Cubic-capacity,Cylinders,Starter,Cooling,Gearbox,Gearshift,Gears,Transmission,Front-breaks,Rear-breaks,Fuel-type,Curb-weight,Exterior-color,Price
Kawasaki,KZ 1300 DFI,Touring Bike,Not provided,1986,Not provided,Not provided,Not provided,Not provided,Yes,2,No,Straight | 4-stroke | DOHC,96/130,1286,6,Electric starter,water,Not provided,Not provided,Not provided,Cardan,Disc,Disc,Petrol,0.297,Black,"17,138"
BMW,"R 100 G/S ""Paris-Dakar""",Enduro/Scrambler,Not provided,1989,"75,000 km",Not provided,Not provided,Not provided,Yes,1,No,Boxer | 4 stroke,44/60,980,2,Electric starter,Air,Manual,Pedal Control Left,5,Cardan,Disc,Drum,Petrol,0.21,White,"14,139"
Suzuki,GSX-R 750,Racing Motorcycle,Not provided,2005,"2,800 mls",Not provided,Not provided,Not provided,No,Not provided,No,Straight | 4-stroke | DOHC,103/140,749,4,Electric starter,water,Manual,Not provided,6,Chain,Disc,Disc,Petrol,0.166,Blue,"4,000"
Harley-Davidson,FLHR Road King,Chopper,01/2000,2000,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-stroke | OHV,60/82,1584,2,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.368,Orange,"11,868"
Harley-Davidson,FLHR Road King,Chopper,01/2001,2001,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-stroke | OHV,1/1 (Factory: 60/82),1 (Factory: 1584),2,unknown,water,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,0.368,Black,"11,868"
Ducati,750 F1,Sports Bike,Not provided,1987,"25,055 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-Takt | DOHC,51/70,748,2,Electric starter,Air,Manual,Pedal Control Left,5,Chain,Disc,Disc,Petrol,0.185,Others,"23,993"
BMW,K 1200 RS,Racing Motorcycle,Not provided,1997,"101,082 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,96/130,1172,4,Electric starter,water,Manual,Pedal Control Left,6,Cardan,Disc,Disc,Petrol,0.28,Others,"4,713"
Kawasaki,ER-5,Touring Bike,06/1997,1997,2 km,JKAER500AAA010298,EX500AE,Not provided,Yes,1,No,Twin | 4 stroke | DOHC,37/50,498,2,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Drum,Petrol,0.19,Red,"4,113"
BMW,R 80 G/S,Enduro/Scrambler,04/1984,1984,"78,000 km",Not provided,Not provided,Not provided,Yes,2,No,Boxer | 4 stroke | OHC,37/50,798,2,Electric starter,Air,Manual,Pedal Control Left,5,Cardan,Disc,Drum,Petrol,0.235,White,"6,855"
Piaggio,Vespa PX 125 E,Scooter,Not provided,1982,"8,000 km",Not provided,Not provided,Not provided,No,1,No,2 stroke,7/9,123,1,Electric starter,Air,Manual,Not provided,4,Not provided,Not provided,Not provided,Petrol,0.098,White,"3,342"
Moto Guzzi,850 LeMans II,Sports Bike,05/1980,1980,"17,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-stroke | OHV,54/73,844,2,Electric starter,Air,Manual,Pedal Control Left,5,Cardan,Disc,Disc,Petrol,Not provided,Red,"8,483"
Honda,GL 1100 Gold Wing,Touring Bike,Not provided,1983,"46,073 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Boxer | 4 stroke | OHC,60/81,1085,4,Electric starter,water,Manual,Pedal Control Left,5,Cardan,Disc,Disc,Petrol,0.27,Others,"5,141"
Ducati,750 Sport,Sports Bike,Not provided,1989,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-Takt,53/72,748,2,Electric starter,Oil-air,Manual,Not provided,5,Chain,Disc,Disc,Petrol,0.191,Others,"16,281"
Piaggio,Vespa PX 80,Scooter,Not provided,1984,"6,112 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,5/7,79,1,Kickstarter,Fan,Not provided,Not provided,Not provided,unit swing,Not provided,Not provided,Petrol,Not provided,Others,"4,713"
Honda,RS 125 R,Racing Motorcycle,Not provided,2008,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,32/44,124,1,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.072,Others,"5,141"
Ducati,Monster 900,Sports Bike,Not provided,1998,"31,856 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4 stroke | OHC,59/80,904,2,Electric starter,Air,Manual,Pedal Control Left,5,Chain,Disc,Disc,Petrol,0.185,Others,"3,856"
Malaguti,F10 Jet Line America,Scooter,Not provided,1993,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,1/1,50,1,Kickstarter,Air,Automatic,Not provided,Not provided,Chain,Not provided,Not provided,Petrol,Not provided,Others,"3,856"
BMW,K1,Touring Bike,Not provided,1993,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,74/100,987,4,unknown,Not provided,Not provided,Not provided,5,Cardan,Disc,Disc,Petrol,0.238,Others,"8,569"
Harley-Davidson,XL 2,Café Racer,Not provided,2006,"33,784 km",Not provided,Not provided,Not provided,No,Not provided,Yes,V | 4-Takt,49/67,1200,2,Electric starter,Not provided,Manual,Pedal Control Left,5,Chain,Disc,Disc,Petrol,Not provided,Others,"7,712"
Malaguti,F15 Firefox,Scooter,Not provided,1995,"9,221 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,1/1,50,1,Kickstarter,Air,Automatic,Not provided,Not provided,Chain,Not provided,Not provided,Petrol,Not provided,Others,"2,913"
Yamaha,YZF 1000 R1,Racing Motorcycle,Not provided,1998,"36,782 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,110/150,998,4,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.192,Others,"4,242"
Harley-Davidson,FLSTF Fat Boy,Cruiser,Not provided,1990,"29,845 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-stroke | OHV,36/49,1338,2,Electric starter,Air,Manual,Not provided,5,Belt,Disc,Drum,Petrol,0.32,Others,"11,954"
Malaguti,F15 Firefox,Scooter,Not provided,1995,"16,410 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,1/1,50,1,unknown,Air,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,Not provided,Others,"3,599"
Bimota,SB7,Racing Motorcycle,Not provided,1999,"23,550 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,97/132,749,4,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.228,Others,"21,851"
Malaguti,F10 Jet Line America,Scooter,Not provided,1993,"39,716 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,1/1,50,1,unknown,Air,Not provided,Not provided,Not provided,Chain,Not provided,Not provided,Petrol,Not provided,Others,"3,856"
Malaguti,F10 Jet Line America,Scooter,Not provided,1994,620 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,1/1,50,1,unknown,Air,Not provided,Not provided,Not provided,Chain,Not provided,Not provided,Petrol,Not provided,Others,"2,913"
Malaguti,F10 Jet Line America,Scooter,Not provided,1994,"4,328 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,1/1,50,1,unknown,Air,Not provided,Not provided,Not provided,Chain,Not provided,Not provided,Petrol,Not provided,Others,"2,913"
Malaguti,F15 Firefox,Scooter,Not provided,1997,"15,404 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,1/1,50,1,unknown,Air,Not provided,Not provided,Not provided,Chain,Not provided,Not provided,Petrol,Not provided,Others,"2,913"
Malaguti,F15 Firefox,Scooter,Not provided,1995,"14,873 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,1/1,50,1,unknown,Air,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,Not provided,Others,"3,856"
Malaguti,F10 Jet Line America,Scooter,Not provided,1993,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,1/1,50,1,unknown,Air,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,Not provided,Others,"3,856"
Yamaha,XT 660 X,Enduro/Scrambler,Not provided,2006,"5,903 mls",Not provided,Not provided,Not provided,No,Not provided,No,4 stroke | OHC,59/80 (Factory: 35/48),660,1,Electric starter,water,Manual,Pedal Control Left,5,Chain,Disc,Disc,Petrol,0.186,Orange,"4,295"
Ducati,916 SPS,Sports Bike,Not provided,1999,"27,275 km",Not provided,Not provided,Not provided,No,Not provided,No,V | 4-Takt | DOHC,99/134,996,2,Electric starter,water,Manual,Not provided,6,Chain,Disc,Disc,Petrol,0.21,Others,"16,500"
Yamaha,FZR 750 R,Racing Motorcycle,Not provided,1989,"14,241 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,88/120,749,4,Electric starter,Air,Not provided,Not provided,6,Chain,Disc,Disc,Petrol,0.216,Others,"24,850"
Yamaha,TY 350 S,Enduro/Scrambler,Not provided,1985,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,1/1,350,1,unknown,Air,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,Not provided,Others,"3,856"
BMW,K 75,Touring Bike,Not provided,1995,"98,608 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,55/75,740,3,Electric starter,Oil-air,Not provided,Not provided,5,Not provided,Disc,Disc,Petrol,0.3,Others,"4,713"
Ducati,900 SS,Sports Bike,Not provided,1993,"32,381 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,4 stroke | DOHC,57/78,904,2,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.186,Others,"6,255"
Garelli,Mosquito,Moped,Not provided,1985,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,1/1,35,1,Crank,Not provided,Automatic,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,Not provided,Others,"3,342"
Gilera,CX 125,Sports Bike,Not provided,1991,"9,353 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,1/1 (Factory: 24/33),125,1,unknown,Oil-air,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,Not provided,Others,"9,854"
Honda,NS 400R,Sports Bike,Not provided,1988,"19,811 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,53/72,387,3,unknown,Not provided,Not provided,Not provided,6,Chain,Disc,Disc,Petrol,0.183,Others,"13,625"
Ducati,851 SP3,Sports Bike,Not provided,1991,"27,686 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-Takt | DOHC,87/118,888,2,Electric starter,water,Manual,Not provided,6,Chain,Disc,Disc,Petrol,0.216,Others,"28,278"
BMW,K 75 RT,Touring Bike,Not provided,1996,"9,498 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,55/75,740,3,Electric starter,Oil-air,Manual,Pedal Control Left,5,Cardan,Disc,Disc,Petrol,0.258,Others,"10,283"
Harley-Davidson,FXSTS Softail Springer,Chopper,Not provided,2000,"1,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Twin | 4 stroke | OHV,46/63,1449,Not provided,unknown,Air,Not provided,Not provided,5,Belt,Disc,Disc,Petrol,0.285,Others,"21,423"
Suzuki,RGV 250 Gamma,Sports Bike,Not provided,1992,"8,376 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 2 stroke,41/56,249,2,unknown,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.169,Others,"12,854"
Triumph,Tiger 1050,Enduro/Scrambler,Not provided,2008,"78,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,4 stroke,1/1 (Factory: 84/114),1050,3,unknown,Oil-air,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,Not provided,Others,"4,627"
Ducati,900 MHR,Racing Motorcycle,Not provided,1983,"2,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,4 stroke | OHC,53/72,864,2,unknown,Air,Manual,Not provided,5,Chain,Disc,Disc,Petrol,0.195,Others,"25,707"
Honda,VF 750,Touring Bike,Not provided,1985,"32,569 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-Takt | DOHC,63/86,750,4,unknown,water,Not provided,Not provided,5,Chain,Disc,Drum,Petrol,0.228,Others,"4,199"
Ducati,Monster 800,Sports Bike,01/2005,2005,"26,902 km",Not provided,Not provided,Not provided,No,1,No,4 stroke,54/73,803,2,Electric starter,Oil-air,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,Not provided,Black,"3,428"
LML,Star 125 4T,Scooter,Not provided,2015,"9,276 km",Not provided,Not provided,Not provided,No,1,No,4-Takt | SOHC,6/8,125,1,Electric starter,Air,Manual,Not provided,4,Not provided,Disc,Drum,Petrol,0.116,Green,"3,428"
Chang Jiang,650 Pekin Express,Bike/Sidecar combination,Not provided,2020,Not provided,Not provided,Not provided,Not provided,Yes,Not provided,No,Straight | 4 stroke | OHC,51/70,650,2,Electric starter,water,Manual,Shift Paddle,4,Chain,Disc,Disc,Petrol,0.365,Grey,"14,559"
Honda,Stream,Scooter,01/1987,1987,"3,500 km",Not provided,Not provided,Not provided,Yes,1,No,2 stroke,2/3,49,1,Electric starter,Air,Automatic,Not provided,Not provided,friction coil,Not provided,Not provided,Petrol,Not provided,Others,"5,141"
Chang Jiang,650 Dynasty,Bike/Sidecar combination,Not provided,2022,Not provided,Not provided,Not provided,Not provided,Yes,Not provided,No,Straight | 4 stroke | OHC,51/70 (Factory: 40/55),650,2,Electric starter,water,Manual,Pedal Control Left,4,Chain,Disc,Disc,Petrol,0.365,Black,"14,559"
Chang Jiang,650 Pekin Express,Bike/Sidecar combination,Not provided,2019,Not provided,Not provided,Not provided,Not provided,No,Not provided,No,Straight | 4 stroke | OHC,51/70,650,2,Electric starter,water,Manual,Not provided,Not provided,Chain,Disc,Disc,Petrol,0.365,Brown,"14,559"
Kawasaki,Z 400 F,Touring Bike,07/1983,1983,"31,000 km",Not provided,Not provided,Not provided,Yes,Not provided,No,Straight | 4-stroke | DOHC,25/34 (Factory: 30/41),399,2,Electric starter,Air,Manual,Pedal Control Left,5,Chain,Disc,Drum,Petrol,0.18,Green,"4,713"
BMW,K 1100 LT,Touring Bike,03/1993,1993,100 km,6459164K1100LT,Not provided,Not provided,No,Not provided,Yes,Straight | 4-stroke | DOHC,74/101,1093,4,Electric starter,water,Not provided,Pedal Control Left,5,Cardan,Disc,Disc,Petrol,0.29,Black,"21,423"
BMW,R 80,Touring Bike,Not provided,1985,Not provided,6471675R80RI,-,-,No,Not provided,Yes,Straight | 4-stroke | DOHC,37/50,797,2,Electric starter,Not provided,Manual,Pedal Control Left,5,Cardan,Disc,Drum,Petrol,Not provided,Purple,"17,138"
Honda,CBX 1000,Sports Bike,01/1982,1982,"39,000 km",SC062401112,Not provided,Not provided,Yes,Not provided,No,Straight | 4 stroke | OHC,77/105,1047,6,Electric starter,Not provided,Manual,Pedal Control Left,5,Chain,Disc,Disc,Petrol,Not provided,White,"15,424"
BMW,Modulo M89,Three Wheeler/Trike,09/1997,1997,"1,000 km",Not provided,Not provided,Not provided,No,Not provided,No,Straight | 4-stroke | DOHC,55/75,740,3,Electric starter,Oil-air,Manual,Not provided,5,Cardan,Disc,Drum,Petrol,Not provided,Blue,"32,562"
MV Agusta,F4 750 S Serie Oro,Racing Motorcycle,06/2003,1999,"33,400 km",ZCGF401AC3V006081,V006081,Not provided,No,2,No,Straight | 4-stroke | DOHC,93/126,750,4,Electric starter,water,Manual,Not provided,6,Chain,Disc,Disc,Petrol,0.2,Red,"10,711"
BMW,K 100,Touring Bike,Not provided,1984,"60,899 km",0000276K100,104EA238958,Not provided,No,2,No,Straight | 4-stroke | DOHC,70/95,987,4,Electric starter,Oil-air,Manual,Pedal Control Left,5,Cardan,Disc,Disc,Petrol,0.23,Grey,"4,285"
Ducati,Sport 1000,Naked Bike,Not provided,2006,Not provided,ZDMC101AAS8003437,ZDM99ZA2X029650,Not provided,No,1,No,Twin | 4 stroke | SOHC,68/92,992,2,Electric starter,Air,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.186,Red,"13,702"
BMW,R 100 RS,Touring Bike,Not provided,1989,"43,118 km",160071R100Rs,160071,Not provided,No,2,No,Boxer | 4 stroke | OHV,44/60,979,2,Electric starter,Air,Manual,Pedal Control Left,5,Cardan,Disc,Drum,Petrol,0.243,White,"7,284"
BMW,R 80/7,Touring Bike,05/1980,1980,"12,812 km",617541510,60322151,Not provided,No,2,No,Boxer | 4 stroke | OHV,40/55,788,2,Electric starter,Not provided,Not provided,Pedal Control Left,5,Cardan,Disc,Drum,Petrol,Not provided,Red,"6,427"
Moto Guzzi,V 35 II,Touring Bike,Not provided,1981,"8,659 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-stroke | OHV,20/27,346,2,Electric starter,Air,Manual,Pedal Control Left,5,Cardan,Disc,Disc,Petrol,0.185,Others,"3,428"
Bimota,500 V-Due,Sports Bike,Not provided,1997,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,81/110,499,2,Electric starter,Oil-air,Direktantrieb,Not provided,6,Chain,Disc,Disc,Petrol,Not provided,Others,"55,699"
Suzuki,GSX-R 1100,Racing Motorcycle,Not provided,1987,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,94/128,1052,4,Electric starter,Oil-air,Manual,Not provided,5,Chain,Disc,Disc,Petrol,0.197,Others,"6,427"
Ducati,GT 1000,Touring Bike,Not provided,2008,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,4 stroke,68/92,992,2,Electric starter,Air,Manual,Not provided,6,Chain,Disc,Disc,Petrol,0.185,Others,"6,941"
Yamaha,RD 500 LC,Sports Bike,Not provided,1984,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,VR | 4-stroke,65/88,499,4,Kickstarter,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.216,Others,"17,995"
Honda,VF 500 F,Sports Bike,Not provided,1985,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,4 stroke,51/70,497,4,Electric starter,Oil-air,Manual,Not provided,6,Chain,Disc,Disc,Petrol,Not provided,Others,"3,085"
Yamaha,FZ 600,Sports Bike,Not provided,1987,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,4 stroke,40/55,599,4,Electric starter,Oil-air,Manual,Not provided,6,Chain,Disc,Disc,Petrol,Not provided,Others,"7,027"
Piaggio,Vespa T5,Scooter,Not provided,1985,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,9/12,123,1,Kickstarter,Air,Manual,Twist Grip Gear Change,4,Not provided,Drum,Drum,Petrol,0.098,Others,"4,199"
Harley-Davidson,Dragason Custom,Chopper,06/2008,2008,"26,566 km",Not provided,Not provided,Not provided,No,Not provided,No,V | 4-stroke | OHV,1/1 (Factory: 40/55),1450,2,Electric starter,Air,Manual,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,Not provided,Black,"14,482"
MV Agusta,Brutale 910,Naked Bike,04/2007,2007,"2,165 km",Not provided,Not provided,Not provided,Yes,1,No,4 stroke,100/136,907,4,Electric starter,Oil-air,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,Not provided,Black,"8,569"
Kawasaki,ZX-10,Sports Bike,Not provided,1989,Not provided,Not provided,Not provided,Not provided,No,Not provided,No,Straight | 4-stroke | DOHC,101/137,997,4,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.261,Black,"3,856"
Aprilia,RSV4 RR,Racing Motorcycle,01/2012,2012,Not provided,M2,000,000,No,Not provided,No,V | 4-Takt | DOHC,169/230 (Factory: 148/201),990,Not provided,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.182,Orange,"29,992"
Aprilia,RSV Mille,Racing Motorcycle,Not provided,1999,Not provided,Not provided,Not provided,Not provided,No,Not provided,No,V | 4-Takt | DOHC,107/145 (Factory: 94/128),995,2,Electric starter,water,Manual,Not provided,6,Chain,Disc,Disc,Petrol,0.22,Black,"51,414"
Benelli,Tornado Tre 900,Sports Bike,12/2002,2002,1 km,000098,?,?,No,1,No,Straight | 4 stroke | OHV,104/141,898,3,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.198,Silver,"59,983"
Suzuki,GSX-R 1100,Racing Motorcycle,Not provided,1986,"23,504 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,94/128,1052,4,Electric starter,Oil-air,Manual,Not provided,5,Chain,Disc,Disc,Petrol,0.197,Others,"6,770"
Suzuki,GSX-R 1100,Sports Bike,Not provided,1990,"33,513 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,105/143,1127,4,Electric starter,Oil-air,Manual,Pedal Control Right,5,Chain,Disc,Disc,Petrol,0.24,Others,"8,997"
Harley-Davidson,FLSTF Fat Boy,Chopper,Not provided,2008,"47,795 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-Takt | DOHC,56/76,1584,2,Electric starter,Air,Manual,Not provided,5,Belt,Disc,Disc,Petrol,Not provided,Others,"11,911"
Suzuki,GSX-R 1100,Sports Bike,Not provided,1996,"48,366 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,115/156,1074,4,Electric starter,water,Manual,Pedal Control Left,5,Chain,Disc,Disc,Petrol,0.254,Others,"5,913"
MV Agusta,F4 750 S Serie Oro,Racing Motorcycle,Not provided,2000,11 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,93/126,750,4,Electric starter,water,Manual,Not provided,6,Chain,Disc,Disc,Petrol,0.2,Others,"35,133"
Honda,CRF 250 R,Motocross,Not provided,2018,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,4 stroke,29/40,249,1,unknown,Oil-air,Not provided,Not provided,5,Chain,Disc,Disc,Petrol,Not provided,Others,"6,770"
MV Agusta,F4 750 S Serie Oro,Racing Motorcycle,Not provided,2000,11 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,93/126,750,4,Electric starter,water,Manual,Not provided,6,Chain,Disc,Disc,Petrol,0.2,Others,"35,133"
Piaggio,Vespa 125 Primavera ET3,Scooter,Not provided,1981,3 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,5/7,123,1,Kickstarter,Fan,Manual,Twist Grip Gear Change,3,unit swing,Drum,Drum,Petrol,0.078,Others,"5,912"
Piaggio,Vespa 50 N Special,Scooter,Not provided,1983,"3,756 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,4/5,49,1,Kickstarter,Air,Not provided,Twist Grip Gear Change,Not provided,Not provided,Not provided,Not provided,Petrol,Not provided,Others,"2,827"
Ducati,851 S,Sports Bike,Not provided,1990,"31,512 km",Not provided,Not provided,Not provided,Yes,1,No,V | 4 stroke | SV,66/90 (Factory: 75/102),851,2,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.216,Red,"7,626"
Ducati,851 SP3,Sports Bike,Not provided,1991,"28,360 km",ZDM888S000701,Not provided,Not provided,No,Not provided,No,V | 4-Takt | DOHC,87/118,888,2,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.216,Red,"17,052"
Petronas,FP1,Racing Motorcycle,Not provided,2003,9 km,Not provided,Not provided,Not provided,No,Not provided,No,Straight | 4-stroke | DOHC,101/138,900,3,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.181,Others,"38,132"
Moto Guzzi,Nevada 350,Cruiser,04/2001,2001,"10,000 km",Not provided,Not provided,Not provided,No,1,No,4 stroke,32/44 (Factory: 22/30),750 (Factory: 350),2,Kickstarter,Not provided,Manual,Pedal Control Left,5,Cardan,Disc,Disc,Petrol,Not provided,White,"3,428"
Gilera,ELMECA 125,Enduro,Not provided,1982,1 km,Not provided,Not provided,Not provided,Yes,1,No,Einzylinder,17/23,123,1,Electric starter,Air,Manual,Not provided,6,Chain,Drum,Drum,Petrol,0.098,Red,"5,056"
Cagiva,WMX 125,Motocross,Not provided,1983,1 km,Not provided,Not provided,Not provided,No,Not provided,No,2 stroke,10/13,125,1,Kickstarter,Air,Manual,Pedal Control Left,Not provided,Chain,Drum,Drum,Petrol,Not provided,Red,"3,428"
Honda,CB 900 F Bol d'Or,Touring Bike,01/1982,1982,"50,000 km",Not provided,Not provided,Not provided,No,Not provided,No,Straight | 4 stroke | OHC,70/95,901,4,Electric starter,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,Not provided,Silver,"10,283"
Ducati,900 SS,Sports Bike,01/1980,1980,200 km,Not provided,Not provided,Not provided,No,1,No,V | 4-Takt,51/70,864,2,Kickstarter,Air,Manual,Pedal Control Left,5,Chain,Disc,Disc,Petrol,0.225,Red,"59,126"
Piaggio,Vespa PX 150 E,Moped,Not provided,1983,"12,000 km",Not provided,Not provided,Not provided,Yes,Not provided,No,2 stroke,7/10,150,1,Electric starter,Air,Manual,Twist Grip Gear Change,4,Not provided,Drum,Drum,Petrol,Not provided,Silver,"5,570"
Piaggio,Vespa PX 125 E,Scooter,01/1982,1982,"1,000 km",Not provided,Not provided,Not provided,Yes,1,No,2 stroke,7/9,123,1,Electric starter,Air,Manual,Not provided,4,Not provided,Not provided,Not provided,Petrol,0.098,Red,"5,056"
Piaggio,Vespa P 200 E,Scooter,01/1984,1984,"1,000 km",Not provided,Not provided,Not provided,No,Not provided,No,2 stroke,7/10,198,1,Kickstarter,Fan,Not provided,Not provided,Not provided,unit swing,Not provided,Not provided,Petrol,Not provided,Blue,"5,570"
Suzuki,GSX 1000 Katana,Rennsport,01/1982,1982,"20,000 km",Not provided,Not provided,Not provided,Yes,1,No,4 stroke,1/1,997,4,Electric starter,Air,Manual,Not provided,5,Chain,Disc,Disc,Petrol,Not provided,Silver,"5,913"
Yamaha,FZR 1000,Sports Bike,01/1991,1991,"22,000 km",Not provided,Not provided,Not provided,No,1,No,Straight | 4-stroke | DOHC,107/145,1002,4,Electric starter,water,Manual,Pedal Control Left,5,Chain,Disc,Disc,Petrol,0.236,White,"4,285"
Suzuki,GSX Hayabusa 1300,Sports Bike,01/2001,2001,"22,000 km",Not provided,Not provided,Not provided,No,1,No,4 stroke,129/175,1299,4,Electric starter,Oil-air,Manual,Not provided,6,Chain,Disc,Disc,Petrol,0.215,Yellow,"8,483"
Ducati,"900 SS ""Darmah""",Sports Bike,05/1980,1980,"42,200 km",Not provided,Not provided,Not provided,No,Not provided,No,V | 4-Takt,50/68,864,2,Electric starter,Air,Manual,Pedal Control Left,5,Chain,Disc,Disc,Petrol,0.22,Red,"14,139"
Ducati,999S,Racing Motorcycle,Not provided,2006,"45,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Twin | 4 stroke | DOHC,100/136,999,2,Electric starter,Oil-air,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.186,Others,"6,770"
